,index,Movie_Link,TrailerPublishYear,TrailerPublishDays,ProductionBudget,HasBudget,Horror,Thriller,Documentary,Comedy,Drama,Adventure,Crime,Biography,Action,NC-17,Not Rated,PG-13,R,PG,G,ProductionCountry,Follows,TopStudios,Language,AwardStars,TopMeters,TopStars,StarsScore,TrailerDuration,FaceNo,RatioFaceNo,Female,RatioFemale,Male,RatioMale,RatioSad,RatioHappy,RatioFear,RatioAngry,RatioSurprise,RatioDisgust,RatioNeutral,RatioAsian,RatioIndian,RatioBlack,RatioWhite,RatioMiddle,RatioHispanic,AverageAge,AvgFaceSize,RatioFaceCoverage,TotalComments,ReviewMag,Sentiment_mean,PN_ratio
0,0,https://www.imdb.com/title/tt4482952/?ref_=adv_li_tt,2015,109,2000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,105,6,0.13,1,0.17,5,0.83,0.17,0.0,0.0,0.33,0.0,0.0,0.5,0.17,0.0,0.17,0.67,0.0,0.0,35.5,277853.17,0.3,2,1.0,0.0,0.0
1,1,https://www.imdb.com/title/tt2989580/?ref_=adv_li_tt,2014,46,5000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,60,17,0.2,4,0.24,13,0.76,0.12,0.06,0.12,0.35,0.0,0.0,0.35,0.24,0.0,0.0,0.65,0.06,0.06,35.12,118152.82,0.13,1,0.3,0.0,0.0
2,2,https://www.imdb.com/title/tt2691554/?ref_=adv_li_tt,2012,85,5000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,65,37,0.69,11,0.3,26,0.7,0.38,0.19,0.16,0.08,0.0,0.0,0.19,0.08,0.0,0.03,0.81,0.03,0.05,33.41,77476.86,0.08,15,11.1,0.26666666666666666,0.36363636363636365
3,3,https://www.imdb.com/title/tt2526846/?ref_=adv_li_tt,2014,28,5000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,131,61,0.85,5,0.08,56,0.92,0.34,0.18,0.05,0.2,0.07,0.0,0.16,0.16,0.0,0.03,0.75,0.02,0.03,38.03,76691.07,0.08,5,4.4,0.8,4.0
4,4,https://www.imdb.com/title/tt2272350/?ref_=adv_li_tt,2013,76,6000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,140,51,0.86,0,0.0,51,1.0,0.33,0.18,0.18,0.1,0.0,0.0,0.22,0.08,0.0,0.04,0.78,0.04,0.06,32.31,17387.33,0.02,12,9.8,0.5,1.0
5,5,https://www.imdb.com/title/tt2516500/?ref_=adv_li_tt,2017,62,7000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,99,63,0.73,6,0.1,57,0.9,0.19,0.13,0.06,0.32,0.03,0.0,0.27,0.1,0.02,0.02,0.75,0.03,0.1,36.35,117632.46,0.13,9,2.7,0.3333333333333333,0.5
6,6,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014,321,10000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,120,73,0.72,28,0.38,45,0.62,0.25,0.15,0.11,0.16,0.0,0.0,0.33,0.26,0.0,0.05,0.6,0.04,0.04,33.0,42279.42,0.05,112,67.3,0.4732142857142857,0.8983050847457628
7,7,https://www.imdb.com/title/tt3655682/?ref_=adv_li_tt,2016,107,10000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,95,49,0.74,6,0.12,43,0.88,0.31,0.1,0.14,0.27,0.0,0.0,0.18,0.18,0.0,0.0,0.78,0.0,0.04,34.24,15516.04,0.02,4,2.0,0.0,0.0
8,8,https://www.imdb.com/title/tt2435514/?ref_=adv_li_tt,2013,352,11000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,72,36,0.53,12,0.33,24,0.67,0.36,0.08,0.17,0.19,0.0,0.0,0.19,0.31,0.0,0.03,0.61,0.06,0.0,32.78,53836.28,0.06,21,17.8,0.5238095238095238,1.1
9,10,https://www.imdb.com/title/tt2308822/?ref_=adv_li_tt,2014,73,20000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,87,23,0.58,6,0.26,17,0.74,0.43,0.17,0.13,0.04,0.0,0.0,0.22,0.04,0.0,0.04,0.83,0.04,0.04,31.91,38595.74,0.04,1,0.0,0.0,0.0
10,11,https://www.imdb.com/title/tt2070883/?ref_=adv_li_tt,2012,50,22000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,100,29,0.64,5,0.17,24,0.83,0.34,0.07,0.1,0.03,0.0,0.0,0.45,0.03,0.0,0.0,0.79,0.17,0.0,31.86,64368.28,0.07,22,17.7,0.7272727272727273,2.6666666666666665
11,13,https://www.imdb.com/title/tt3539424/?ref_=adv_li_tt,2015,314,25000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,50,9,0.27,1,0.11,8,0.89,0.56,0.11,0.0,0.11,0.0,0.0,0.22,0.44,0.11,0.0,0.44,0.0,0.0,32.0,23178.22,0.03,4,3.3,1.0,4.0
12,14,https://www.imdb.com/title/tt7304194/?ref_=adv_li_tt,2018,21,30000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,115,16,0.33,0,0.0,16,1.0,0.31,0.0,0.25,0.06,0.0,0.0,0.38,0.13,0.0,0.0,0.88,0.0,0.0,37.38,72016.56,0.08,2,1.6,0.0,0.0
13,15,https://www.imdb.com/title/tt3625352/?ref_=adv_li_tt,2014,10,35000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,134,53,0.77,13,0.25,40,0.75,0.36,0.25,0.06,0.15,0.0,0.0,0.19,0.17,0.08,0.04,0.43,0.11,0.17,37.02,86406.3,0.09,2,1.5,0.5,1.0
14,16,https://www.imdb.com/title/tt2176874/?ref_=adv_li_tt,2014,338,37777,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,70,21,0.53,0,0.0,21,1.0,0.48,0.0,0.05,0.14,0.1,0.0,0.24,0.19,0.05,0.0,0.62,0.14,0.0,32.9,39514.71,0.04,2,1.8,0.5,1.0
15,17,https://www.imdb.com/title/tt3923750/?ref_=adv_li_tt,2016,41,40000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,81,77,1.28,22,0.29,55,0.71,0.32,0.06,0.08,0.22,0.0,0.0,0.31,0.14,0.0,0.12,0.61,0.09,0.04,32.92,28951.12,0.03,11,5.1,0.45454545454545453,0.8333333333333334
16,18,https://www.imdb.com/title/tt3275216/?ref_=adv_li_tt,2015,14,40607,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,129,63,0.79,5,0.08,58,0.92,0.3,0.13,0.11,0.08,0.02,0.0,0.37,0.05,0.02,0.02,0.79,0.1,0.03,33.51,11921.79,0.01,1,0.9,0.0,0.0
17,19,https://www.imdb.com/title/tt2084989/?ref_=adv_li_tt,2013,227,50000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,130,51,0.39,8,0.16,43,0.84,0.29,0.02,0.22,0.16,0.04,0.0,0.27,0.16,0.0,0.02,0.76,0.04,0.02,30.98,72470.04,0.08,35,24.5,0.34285714285714286,0.5217391304347826
18,20,https://www.imdb.com/title/tt2866360/?ref_=adv_li_tt,2014,92,50000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,108,70,0.97,26,0.37,44,0.63,0.33,0.1,0.16,0.13,0.03,0.0,0.26,0.09,0.0,0.0,0.77,0.04,0.1,33.93,82464.84,0.09,3,0.9,0.3333333333333333,0.5
19,21,https://www.imdb.com/title/tt2334896/?ref_=adv_li_tt,2013,319,55000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,106,121,1.26,9,0.07,112,0.93,0.27,0.08,0.23,0.12,0.01,0.0,0.28,0.17,0.01,0.02,0.74,0.02,0.03,31.4,40542.84,0.04,323,313.0,0.6160990712074303,1.6048387096774193
20,22,https://www.imdb.com/title/tt3952108/?ref_=adv_li_tt,2015,88,56083,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,16,1,0.14,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,17360.0,0.02,2,3.7,0.5,1.0
21,23,https://www.imdb.com/title/tt1874789/?ref_=adv_li_tt,2012,28,60000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,124,93,1.35,22,0.24,71,0.76,0.29,0.11,0.05,0.17,0.01,0.0,0.37,0.11,0.01,0.18,0.57,0.08,0.05,31.41,45064.18,0.05,23,19.5,0.5652173913043478,1.3
22,24,https://www.imdb.com/title/tt4036488/?ref_=adv_li_tt,2016,22,66000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,101,39,0.62,2,0.05,37,0.95,0.31,0.21,0.08,0.18,0.0,0.0,0.23,0.18,0.03,0.03,0.69,0.05,0.03,33.0,32472.9,0.04,6,4.5,0.6666666666666666,2.0
23,25,https://www.imdb.com/title/tt8305806/?ref_=adv_li_tt,2020,36,66000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,130,26,0.41,3,0.12,23,0.88,0.38,0.12,0.15,0.12,0.04,0.0,0.19,0.5,0.04,0.0,0.35,0.04,0.08,29.96,47645.27,0.05,15,9.5,0.4666666666666667,0.875
24,26,https://www.imdb.com/title/tt12659886/?ref_=adv_li_tt,2020,112,71933,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,141,4,0.1,0,0.0,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.25,33.25,24271.75,0.03,28,14.8,0.35714285714285715,0.5555555555555556
25,27,https://www.imdb.com/title/tt3711708/?ref_=adv_li_tt,2017,35,75000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,142,89,0.95,4,0.04,85,0.96,0.11,0.36,0.17,0.15,0.01,0.0,0.2,0.15,0.0,0.08,0.61,0.16,0.01,36.44,34815.08,0.04,9,5.9,0.5555555555555556,1.25
26,28,https://www.imdb.com/title/tt3072876/?ref_=adv_li_tt,2016,43,80000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,141,100,67,1.02,10,0.15,57,0.85,0.16,0.34,0.13,0.07,0.01,0.0,0.27,0.13,0.01,0.01,0.79,0.03,0.01,37.46,48570.49,0.05,5,4.2,0.8,4.0
27,29,https://www.imdb.com/title/tt1942884/?ref_=adv_li_tt,2012,115,100000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,169,38,0.36,0,0.0,38,1.0,0.24,0.18,0.16,0.21,0.0,0.0,0.21,0.05,0.0,0.0,0.89,0.03,0.03,32.18,178721.32,0.19,44,26.8,0.38636363636363635,0.6296296296296297
28,30,https://www.imdb.com/title/tt2389182/?ref_=adv_li_tt,2013,234,100000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,105,17,0.81,2,0.12,15,0.88,0.12,0.06,0.06,0.35,0.0,0.0,0.41,0.24,0.0,0.0,0.76,0.0,0.0,34.94,68011.41,0.07,1,0.3,1.0,1.0
29,31,https://www.imdb.com/title/tt2343473/?ref_=adv_li_tt,2013,45,100000,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,170,106,0.71,26,0.25,80,0.75,0.37,0.03,0.08,0.16,0.01,0.0,0.35,0.08,0.0,0.03,0.89,0.0,0.01,34.86,49304.69,0.05,3,1.1,0.0,0.0
30,32,https://www.imdb.com/title/tt2756032/?ref_=adv_li_tt,2014,22,100000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,118,90,0.92,20,0.22,70,0.78,0.34,0.13,0.09,0.17,0.02,0.0,0.24,0.09,0.0,0.01,0.76,0.1,0.04,33.9,37538.43,0.04,25,17.6,0.52,1.0833333333333333
31,33,https://www.imdb.com/title/tt2649882/?ref_=adv_li_tt,2014,71,100000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,114,40,0.7,19,0.48,21,0.53,0.43,0.05,0.18,0.08,0.0,0.0,0.28,0.15,0.0,0.0,0.85,0.0,0.0,34.0,50038.53,0.05,1,0.0,0.0,0.0
32,34,https://www.imdb.com/title/tt3824458/?ref_=adv_li_tt,2015,70,100000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,127,99,0.79,20,0.2,79,0.8,0.36,0.08,0.15,0.06,0.02,0.0,0.32,0.19,0.01,0.28,0.4,0.07,0.04,31.97,23034.86,0.02,1,1.8,1.0,1.0
33,35,https://www.imdb.com/title/tt2309260/?ref_=adv_li_tt,2015,85,100000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,89,9,0.3,1,0.11,8,0.89,0.22,0.0,0.0,0.56,0.0,0.0,0.22,0.22,0.0,0.33,0.44,0.0,0.0,33.22,251127.67,0.27,701,461.9,0.5135520684736091,1.0557184750733137
34,36,https://www.imdb.com/title/tt4780578/?ref_=adv_li_tt,2017,158,100000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,100,64,0.74,13,0.2,51,0.8,0.42,0.05,0.09,0.2,0.02,0.0,0.22,0.23,0.0,0.02,0.7,0.0,0.05,33.38,54792.78,0.06,4,2.1,0.5,1.0
35,37,https://www.imdb.com/title/tt6265828/?ref_=adv_li_tt,2017,122,100000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,140,22,0.28,3,0.14,19,0.86,0.41,0.0,0.14,0.09,0.0,0.0,0.36,0.27,0.0,0.0,0.73,0.0,0.0,32.09,64827.45,0.07,432,282.5,0.4398148148148148,0.7851239669421488
36,38,https://www.imdb.com/title/tt7608028/?ref_=adv_li_tt,2017,22,100000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,43,123,36,0.65,9,0.25,27,0.75,0.33,0.08,0.08,0.14,0.08,0.0,0.28,0.33,0.03,0.08,0.56,0.0,0.0,32.75,22479.69,0.02,105,45.2,0.3619047619047619,0.5671641791044776
37,39,https://www.imdb.com/title/tt11835714/?ref_=adv_li_tt,2020,26,100000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,88,4,0.15,1,0.25,3,0.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,34.25,91066.0,0.1,7,4.2,0.5714285714285714,1.3333333333333333
38,40,https://www.imdb.com/title/tt1825806/?ref_=adv_li_tt,2014,28,112000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,134,171,1.43,51,0.3,120,0.7,0.33,0.05,0.19,0.18,0.01,0.0,0.23,0.12,0.0,0.01,0.86,0.01,0.0,36.68,32975.9,0.04,1,0.4,0.0,0.0
39,41,https://www.imdb.com/title/tt1742336/?ref_=adv_li_tt,2012,72,120000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,149,96,0.68,39,0.41,57,0.59,0.26,0.26,0.1,0.07,0.02,0.0,0.28,0.11,0.0,0.02,0.76,0.04,0.06,34.15,72046.26,0.08,22,10.7,0.3181818181818182,0.4666666666666667
40,42,https://www.imdb.com/title/tt4651932/?ref_=adv_li_tt,2015,63,120000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,134,207,1.56,28,0.14,179,0.86,0.28,0.15,0.13,0.14,0.01,0.0,0.28,0.23,0.01,0.01,0.65,0.06,0.04,31.48,21735.81,0.02,9,2.2,0.4444444444444444,0.8
41,43,https://www.imdb.com/title/tt5095552/?ref_=adv_li_tt,2016,189,137744,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,103,128,1.44,10,0.08,118,0.92,0.25,0.08,0.16,0.2,0.02,0.02,0.27,0.17,0.01,0.01,0.73,0.02,0.05,33.54,21883.2,0.02,4,2.3,0.75,3.0
42,44,https://www.imdb.com/title/tt2251490/?ref_=adv_li_tt,2013,332,150000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,134,114,1.24,26,0.23,88,0.77,0.28,0.12,0.13,0.18,0.05,0.0,0.23,0.18,0.02,0.06,0.64,0.01,0.1,32.51,53787.76,0.06,5,11.9,1.0,5.0
43,45,https://www.imdb.com/title/tt2403815/?ref_=adv_li_tt,2013,53,150000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,94,38,0.66,19,0.5,19,0.5,0.26,0.16,0.13,0.08,0.05,0.0,0.32,0.21,0.0,0.0,0.68,0.05,0.05,31.5,106510.39,0.12,174,127.3,0.47126436781609193,0.8913043478260869
44,46,https://www.imdb.com/title/tt3743068/?ref_=adv_li_tt,2015,90,150000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,101,74,1.12,2,0.03,72,0.97,0.32,0.11,0.12,0.14,0.0,0.0,0.31,0.41,0.01,0.03,0.38,0.07,0.11,35.69,40590.88,0.04,2,3.0,1.0,2.0
45,47,https://www.imdb.com/title/tt1754228/?ref_=adv_li_tt,2014,26,176199,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,97,34,0.55,2,0.06,32,0.94,0.38,0.12,0.03,0.29,0.0,0.0,0.18,0.15,0.0,0.12,0.56,0.18,0.0,35.71,46456.91,0.05,3,2.9,0.3333333333333333,0.5
46,48,https://www.imdb.com/title/tt4558042/?ref_=adv_li_tt,2015,143,185955,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,153,182,1.58,19,0.1,163,0.9,0.29,0.23,0.13,0.13,0.01,0.0,0.21,0.17,0.0,0.02,0.73,0.03,0.05,33.97,72689.63,0.08,8,8.9,0.375,0.6
47,49,https://www.imdb.com/title/tt1918727/?ref_=adv_li_tt,2012,140,200000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,114,103,1.01,15,0.15,88,0.85,0.3,0.17,0.1,0.18,0.01,0.0,0.24,0.2,0.01,0.02,0.65,0.07,0.05,33.92,30146.17,0.03,62,51.7,0.5967741935483871,1.48
48,50,https://www.imdb.com/title/tt1907614/?ref_=adv_li_tt,2012,312,200000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,78,49,1.0,8,0.16,41,0.84,0.41,0.18,0.14,0.06,0.0,0.0,0.2,0.27,0.0,0.0,0.71,0.02,0.0,32.06,28368.76,0.03,52,37.9,0.5961538461538461,1.4761904761904763
49,51,https://www.imdb.com/title/tt2235779/?ref_=adv_li_tt,2013,175,200000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,89,75,26,0.54,3,0.12,23,0.88,0.54,0.0,0.04,0.12,0.04,0.0,0.27,0.08,0.0,0.08,0.85,0.0,0.0,30.77,41186.92,0.04,96,59.6,0.4895833333333333,0.9591836734693877
50,52,https://www.imdb.com/title/tt3705412/?ref_=adv_li_tt,2015,217,200000,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,60,52,0.75,7,0.13,45,0.87,0.4,0.08,0.13,0.13,0.02,0.0,0.23,0.25,0.0,0.02,0.67,0.04,0.02,32.12,49177.75,0.05,2,0.2,0.0,0.0
51,53,https://www.imdb.com/title/tt3771626/?ref_=adv_li_tt,2016,17,200000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,98,23,0.48,7,0.3,16,0.7,0.22,0.13,0.09,0.09,0.0,0.0,0.48,0.0,0.0,0.04,0.61,0.09,0.26,37.7,75591.7,0.08,14,18.1,0.7857142857142857,3.6666666666666665
52,54,https://www.imdb.com/title/tt3844362/?ref_=adv_li_tt,2015,59,200000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,126,106,1.06,23,0.22,83,0.78,0.28,0.08,0.21,0.11,0.01,0.0,0.31,0.16,0.0,0.0,0.73,0.08,0.03,33.34,38203.32,0.04,28,16.8,0.4642857142857143,0.8666666666666667
53,55,https://www.imdb.com/title/tt3894312/?ref_=adv_li_tt,2016,16,200000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,139,69,0.48,25,0.36,44,0.64,0.35,0.04,0.09,0.33,0.0,0.0,0.19,0.22,0.01,0.03,0.7,0.01,0.03,34.43,39285.1,0.04,18,10.2,0.5555555555555556,1.25
54,56,https://www.imdb.com/title/tt5432342/?ref_=adv_li_tt,2019,21,200000,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,122,49,0.68,4,0.08,45,0.92,0.33,0.08,0.08,0.18,0.04,0.0,0.29,0.06,0.04,0.02,0.73,0.12,0.02,33.16,54531.18,0.06,2,1.1,0.0,0.0
55,57,https://www.imdb.com/title/tt1772262/?ref_=adv_li_tt,2013,365,210000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,146,99,0.72,9,0.09,90,0.91,0.2,0.09,0.18,0.22,0.02,0.0,0.28,0.25,0.03,0.02,0.53,0.06,0.11,34.24,55643.73,0.06,36,31.6,0.6111111111111112,1.5714285714285714
56,58,https://www.imdb.com/title/tt2137351/?ref_=adv_li_tt,2013,30,250000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,106,102,1.52,8,0.08,94,0.92,0.25,0.12,0.11,0.25,0.0,0.01,0.26,0.22,0.0,0.02,0.66,0.03,0.08,35.15,47873.43,0.05,2,0.3,0.5,1.0
57,59,https://www.imdb.com/title/tt1825784/?ref_=adv_li_tt,2013,14,250000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,121,151,1.37,4,0.03,147,0.97,0.25,0.16,0.17,0.2,0.01,0.0,0.21,0.14,0.0,0.05,0.77,0.01,0.03,35.69,11255.24,0.01,4,4.0,0.25,0.3333333333333333
58,60,https://www.imdb.com/title/tt2301039/?ref_=adv_li_tt,2012,29,250000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,55,51,0.73,3,0.06,48,0.94,0.45,0.1,0.08,0.12,0.0,0.0,0.25,0.18,0.02,0.02,0.71,0.04,0.04,35.84,62249.59,0.07,76,50.4,0.4605263157894737,0.8536585365853658
59,61,https://www.imdb.com/title/tt4682866/?ref_=adv_li_tt,2015,179,250000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,75,53,1.1,6,0.11,47,0.89,0.34,0.09,0.06,0.19,0.02,0.0,0.3,0.23,0.06,0.02,0.64,0.04,0.02,33.77,40179.0,0.04,17,8.1,0.4117647058823529,0.7
60,62,https://www.imdb.com/title/tt4573516/?ref_=adv_li_tt,2016,149,250000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,42,20,0.61,2,0.1,18,0.9,0.4,0.0,0.1,0.2,0.0,0.0,0.3,0.6,0.0,0.25,0.15,0.0,0.0,33.0,72572.9,0.08,144,82.2,0.4097222222222222,0.6941176470588235
61,63,https://www.imdb.com/title/tt4537888/?ref_=adv_li_tt,2017,18,250000,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,106,27,0.33,4,0.15,23,0.85,0.37,0.15,0.11,0.22,0.0,0.0,0.15,0.11,0.0,0.07,0.67,0.07,0.07,33.04,51077.63,0.06,3,1.2,0.6666666666666666,2.0
62,64,https://www.imdb.com/title/tt4031126/?ref_=adv_li_tt,2017,120,250000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,87,20,0.43,6,0.3,14,0.7,0.25,0.1,0.1,0.2,0.0,0.0,0.35,0.15,0.0,0.1,0.6,0.1,0.05,32.55,60134.75,0.07,6,2.1,0.3333333333333333,0.5
63,65,https://www.imdb.com/title/tt1971352/?ref_=adv_li_tt,2012,86,270000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,135,79,0.59,39,0.49,40,0.51,0.3,0.03,0.2,0.24,0.0,0.0,0.23,0.25,0.04,0.01,0.65,0.0,0.05,35.06,58388.72,0.06,1,0.1,1.0,1.0
64,66,https://www.imdb.com/title/tt3407428/?ref_=adv_li_tt,2014,283,295134,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,36,2,0.22,0,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.5,39522.0,0.04,3,1.9,0.3333333333333333,0.5
65,67,https://www.imdb.com/title/tt1568341/?ref_=adv_li_tt,2012,134,300000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,124,77,0.73,10,0.13,67,0.87,0.43,0.05,0.09,0.17,0.0,0.0,0.26,0.14,0.01,0.04,0.57,0.1,0.13,33.16,36562.31,0.04,39,24.1,0.5128205128205128,1.0526315789473684
66,68,https://www.imdb.com/title/tt2943992/?ref_=adv_li_tt,2014,491,300000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,155,181,1.72,21,0.12,160,0.88,0.22,0.18,0.17,0.15,0.02,0.0,0.25,0.2,0.0,0.0,0.76,0.02,0.02,35.27,47985.04,0.05,12,9.9,0.75,3.0
67,69,https://www.imdb.com/title/tt1241226/?ref_=adv_li_tt,2013,169,300000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,136,86,0.83,7,0.08,79,0.92,0.45,0.07,0.08,0.22,0.0,0.0,0.17,0.14,0.01,0.01,0.7,0.08,0.06,34.13,44256.56,0.05,4,2.2,0.5,1.0
68,70,https://www.imdb.com/title/tt4687358/?ref_=adv_li_tt,2016,27,300000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,125,56,0.84,11,0.2,45,0.8,0.34,0.07,0.18,0.07,0.0,0.0,0.34,0.16,0.0,0.0,0.8,0.0,0.04,33.25,37362.25,0.04,3,0.9,0.0,0.0
69,71,https://www.imdb.com/title/tt5225338/?ref_=adv_li_tt,2016,70,300000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,124,23,0.32,11,0.48,12,0.52,0.26,0.17,0.26,0.04,0.0,0.0,0.26,0.26,0.0,0.0,0.57,0.0,0.17,33.65,42195.35,0.05,13,10.9,0.6153846153846154,1.6
