,index,Movie_Link,TrailerPublishYear,TrailerPublishDays,ProductionBudget,HasBudget,Horror,Thriller,Documentary,Comedy,Drama,Adventure,Crime,Biography,Action,NC-17,Not Rated,PG-13,R,PG,G,ProductionCountry,Follows,TopStudios,Language,AwardStars,TopMeters,TopStars,StarsScore,TrailerDuration,FaceNo,RatioFaceNo,Female,RatioFemale,Male,RatioMale,RatioSad,RatioHappy,RatioFear,RatioAngry,RatioSurprise,RatioDisgust,RatioNeutral,RatioAsian,RatioIndian,RatioBlack,RatioWhite,RatioMiddle,RatioHispanic,AverageAge,AvgFaceSize,RatioFaceCoverage,TotalComments,ReviewMag,Sentiment_mean,PN_ratio
2315,2353,https://www.imdb.com/title/tt7983890/?ref_=adv_li_tt,2019,39,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,135,30,0.75,5,0.17,25,0.83,0.5,0.07,0.03,0.1,0.0,0.0,0.3,0.77,0.0,0.0,0.23,0.0,0.0,33.3,35991.27,0.04,17,11.2,0.5882352941176471,1.4285714285714286
2316,2354,https://www.imdb.com/title/tt8647310/?ref_=adv_li_tt,2019,282,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,26,131,159,1.53,36,0.23,123,0.77,0.3,0.12,0.15,0.14,0.03,0.0,0.25,0.16,0.01,0.03,0.7,0.04,0.05,33.47,11136.67,0.01,18,8.2,0.4444444444444444,0.8
2317,2355,https://www.imdb.com/title/tt8745960/?ref_=adv_li_tt,2019,51,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,131,58,0.98,7,0.12,51,0.88,0.45,0.05,0.14,0.14,0.0,0.0,0.22,0.14,0.0,0.05,0.74,0.03,0.03,32.31,26566.41,0.03,19,11.1,0.42105263157894735,0.7272727272727273
2318,2356,https://www.imdb.com/title/tt7422822/?ref_=adv_li_tt,2019,57,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,130,326,2.81,81,0.25,245,0.75,0.25,0.13,0.17,0.09,0.02,0.0,0.33,0.14,0.01,0.03,0.79,0.02,0.01,31.46,12194.66,0.01,19,7.9,0.2631578947368421,0.35714285714285715
2319,2357,https://www.imdb.com/title/tt8707922/?ref_=adv_li_tt,2019,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,48,157,217,1.33,73,0.34,144,0.66,0.34,0.1,0.11,0.12,0.0,0.0,0.32,0.18,0.04,0.03,0.51,0.2,0.03,32.47,25697.91,0.03,21,12.2,0.3333333333333333,0.5
2320,2359,https://www.imdb.com/title/tt8855960/?ref_=adv_li_tt,2020,81,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,134,98,1.32,25,0.26,73,0.74,0.37,0.1,0.15,0.05,0.01,0.0,0.32,0.21,0.0,0.0,0.62,0.05,0.11,30.65,11156.22,0.01,26,19.7,0.6538461538461539,1.8888888888888888
2321,2361,https://www.imdb.com/title/tt8739582/?ref_=adv_li_tt,2020,127,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,150,175,1.45,42,0.24,133,0.76,0.33,0.11,0.08,0.17,0.02,0.0,0.3,0.28,0.0,0.01,0.59,0.06,0.06,32.99,22290.36,0.02,94,60.4,0.5212765957446809,1.0888888888888888
2322,2362,https://www.imdb.com/title/tt8195518/?ref_=adv_li_tt,2019,28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,96,64,0.58,4,0.06,60,0.94,0.31,0.08,0.14,0.11,0.02,0.0,0.34,0.06,0.03,0.03,0.73,0.09,0.05,35.2,90815.86,0.1,226,131.6,0.5353982300884956,1.1523809523809523
2323,2363,https://www.imdb.com/title/tt7066546/?ref_=adv_li_tt,2019,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,152,64,0.59,12,0.19,52,0.81,0.44,0.0,0.11,0.2,0.02,0.0,0.23,0.22,0.03,0.03,0.7,0.0,0.02,34.8,41050.78,0.04,4,0.9,0.25,0.3333333333333333
2324,2364,https://www.imdb.com/title/tt6246534/?ref_=adv_li_tt,2019,43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,125,203,1.88,31,0.15,172,0.85,0.38,0.08,0.1,0.1,0.01,0.0,0.33,0.27,0.0,0.34,0.3,0.01,0.07,32.79,22370.58,0.02,1,0.8,1.0,1.0
2325,2365,https://www.imdb.com/title/tt5969180/?ref_=adv_li_tt,2019,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,118,153,1.8,32,0.21,121,0.79,0.24,0.17,0.11,0.15,0.02,0.0,0.31,0.14,0.01,0.11,0.68,0.03,0.03,33.73,22025.61,0.02,3,1.8,0.3333333333333333,0.5
2326,2366,https://www.imdb.com/title/tt6803046/?ref_=adv_li_tt,2020,113,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,135,15,0.5,0,0.0,15,1.0,0.33,0.07,0.2,0.2,0.0,0.0,0.2,0.33,0.0,0.07,0.53,0.07,0.0,32.33,20980.13,0.02,8,3.9,0.625,1.6666666666666667
2327,2367,https://www.imdb.com/title/tt5699928/?ref_=adv_li_tt,2019,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,93,30,0.57,8,0.27,22,0.73,0.33,0.07,0.13,0.23,0.0,0.0,0.23,0.2,0.0,0.03,0.67,0.07,0.03,30.53,43340.3,0.05,9,6.4,0.6666666666666666,2.0
2328,2368,https://www.imdb.com/title/tt7525496/?ref_=adv_li_tt,2020,68,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,130,152,2.2,24,0.16,128,0.84,0.3,0.07,0.15,0.16,0.01,0.0,0.31,0.12,0.01,0.02,0.7,0.07,0.09,30.1,12011.93,0.01,12,6.8,0.8333333333333334,5.0
2329,2369,https://www.imdb.com/title/tt7262384/?ref_=adv_li_tt,2020,31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,156,129,1.36,23,0.18,106,0.82,0.33,0.11,0.17,0.1,0.02,0.0,0.28,0.22,0.0,0.05,0.6,0.07,0.05,31.85,14106.86,0.02,17,7.5,0.4117647058823529,0.7
2330,2370,https://www.imdb.com/title/tt9231040/?ref_=adv_li_tt,2020,184,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,109,35,0.76,1,0.03,34,0.97,0.34,0.14,0.06,0.11,0.0,0.0,0.34,0.23,0.0,0.06,0.6,0.03,0.09,36.86,27173.2,0.03,20,12.8,0.4,0.6666666666666666
2331,2371,https://www.imdb.com/title/tt6533972/?ref_=adv_li_tt,2020,57,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,141,52,0.95,6,0.12,46,0.88,0.27,0.13,0.15,0.04,0.0,0.0,0.4,0.23,0.0,0.37,0.29,0.04,0.08,32.23,19870.38,0.02,29,16.2,0.5517241379310345,1.2307692307692308
2332,2372,https://www.imdb.com/title/tt8769848/?ref_=adv_li_tt,2019,128,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,47,160,71,0.72,12,0.17,59,0.83,0.27,0.11,0.11,0.32,0.01,0.0,0.17,0.07,0.0,0.0,0.89,0.03,0.01,37.63,55903.1,0.06,66,48.0,0.6060606060606061,1.5384615384615385
2333,2373,https://www.imdb.com/title/tt7139936/?ref_=adv_li_tt,2020,54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,169,117,1.22,27,0.23,90,0.77,0.45,0.08,0.15,0.08,0.01,0.0,0.23,0.21,0.01,0.03,0.73,0.01,0.03,31.12,36489.25,0.04,261,145.3,0.39846743295019155,0.6624203821656051
2334,2374,https://www.imdb.com/title/tt7374948/?ref_=adv_li_tt,2019,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,174,230,1.97,59,0.26,171,0.74,0.27,0.16,0.12,0.14,0.0,0.0,0.3,0.5,0.0,0.0,0.43,0.03,0.04,32.6,21945.97,0.02,378,193.4,0.36772486772486773,0.5815899581589958
2335,2375,https://www.imdb.com/title/tt7698468/?ref_=adv_li_tt,2020,60,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,144,121,1.03,28,0.23,93,0.77,0.31,0.02,0.13,0.12,0.01,0.0,0.4,0.25,0.02,0.01,0.58,0.07,0.07,32.28,40929.17,0.04,479,317.4,0.534446764091858,1.147982062780269
2336,2376,https://www.imdb.com/title/tt10443252/?ref_=adv_li_tt,2019,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,143,23,0.47,1,0.04,22,0.96,0.39,0.13,0.0,0.26,0.0,0.0,0.22,0.09,0.0,0.04,0.87,0.0,0.0,37.17,106412.57,0.12,1,0.1,1.0,1.0
2337,2377,https://www.imdb.com/title/tt8484012/?ref_=adv_li_tt,2019,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,128,82,1.24,18,0.22,64,0.78,0.13,0.1,0.09,0.33,0.01,0.0,0.34,0.02,0.0,0.0,0.84,0.04,0.1,36.49,29294.73,0.03,1,0.5,0.0,0.0
